學年度,縣市別,幼兒園[人],國小[人],國中[人],高級中等學校-普通科[人],高級中等學校-專業群科[人],高級中等學校-綜合高中[人],高級中等學校-實用技能學程[人],高級中等學校-進修部[人],大專校院(全部計入校本部)[人],大專校院(跨縣市教學計入所在地縣市)[人],宗教研修學院[人],國民補習及大專進修學校及空大[人],特殊教育學校[人]
106,嘉義市,6466,15068,9996,6407,8940,1371,1922,693,18014,14659,0,230,302
106,金門縣,2026,3619,1948,1007,1005,0,47,52,4501,4562,0,0,0
106,連江縣,292,474,227,0,0,304,0,0,0,19,0,0,0
107,新北市,83960,195862,95923,39153,34275,5128,700,4693,147293,141046,89,17056,318
107,臺北市,54229,118097,64651,57381,31239,3316,302,4712,259340,239263,124,7409,739
107,桃園市,54358,124639,64734,29262,33257,2544,4422,5138,101858,113066,0,2628,419
107,臺中市,79891,153260,81865,37422,45640,1970,4119,5479,186363,185886,0,9543,807
107,臺南市,47210,88745,48570,24629,19920,3480,3594,2101,120215,121598,47,1342,446
107,高雄市,57683,126527,69362,34231,36231,2134,5094,3021,141008,146140,128,7742,625
107,宜蘭縣,10876,21515,13233,5981,4325,1233,610,555,12864,15850,0,816,103
107,新竹縣,16412,36512,16990,5204,5121,1174,850,949,14411,19541,0,545,241
107,苗栗縣,12027,27778,14967,6182,7363,1152,1206,867,18887,18704,0,219,118
107,彰化縣,29513,62367,35150,11949,17139,3951,2689,2712,33376,33328,0,870,511
107,南投縣,10617,22763,13531,4269,7575,637,970,588,10926,10926,50,470,137
107,雲林縣,14170,31645,19840,7607,7833,1273,1403,642,24836,25598,0,1038,202
107,嘉義縣,8865,18736,11450,2700,4597,426,1336,399,27312,31702,0,979,0
107,屏東縣,16004,35146,21110,8665,8086,828,640,1095,38794,38541,0,1532,173
107,臺東縣,4733,10189,6052,562,2622,2349,185,275,5757,5814,0,37,108
107,花蓮縣,7160,15235,9102,3975,3725,1780,72,491,18269,18301,0,269,143
107,澎湖縣,1803,3472,2200,897,1542,0,44,0,3025,3025,0,18,0
107,基隆市,7169,15896,9031,4093,5088,338,411,413,14802,14802,0,2162,114
107,新竹市,13773,30866,15214,9256,5875,2906,533,1358,47161,46003,0,246,0
107,嘉義市,6628,15090,9351,6298,8298,1214,1865,589,14022,11234,0,208,288
107,金門縣,2037,3729,1863,976,1018,0,34,47,4303,4374,0,0,0
107,連江縣,286,482,220,0,0,285,0,0,0,80,0,0,0
108,新北市,87311,198588,93426,37425,30732,4471,600,4028,141670,135795,81,17747,271
108,臺北市,56635,120623,64558,56217,26944,2641,323,4024,256209,237838,148,7326,653
108,桃園市,58589,126902,63378,29030,30448,1781,3993,4183,99870,110856,0,2639,409
108,臺中市,81908,155376,80549,36466,39657,1806,4435,4760,184268,183875,0,9967,702
108,臺南市,47967,90188,47473,23228,17808,2843,3121,1912,115057,115794,67,1578,408
108,高雄市,60483,127513,67579,32753,33865,1212,4279,2681,138258,143051,171,7619,566
108,宜蘭縣,11389,21698,12534,5663,4093,1103,601,581,12197,14880,0,689,86
108,新竹縣,17325,37203,16909,5029,4977,918,824,760,13314,17919,0,584,213
108,苗栗縣,13390,27856,14515,5933,6656,971,1083,769,18246,18018,0,228,114
108,彰化縣,31301,62052,33185,11609,15924,3582,2643,2113,31147,31147,0,817,493
108,南投縣,11295,22689,12793,3907,6876,778,796,561,10214,10214,58,494,123
108,雲林縣,14988,31117,18968,7225,6736,1182,1285,530,24603,25358,0,817,193
108,嘉義縣,9097,18355,10668,2636,4058,352,1080,333,26309,30480,0,1095,0
108,屏東縣,17157,34688,20054,8123,7020,700,562,866,36734,36549,0,1310,168
108,臺東縣,4853,9975,5805,541,2533,2105,187,237,5842,5863,0,33,114
108,花蓮縣,7531,15217,8567,3810,3504,1485,20,434,18027,18040,0,289,127
108,澎湖縣,1866,3472,2062,833,1368,0,52,0,3051,3051,0,36,0
108,基隆市,7506,15862,8704,3502,4334,270,323,370,14561,14561,0,2061,114
108,新竹市,14559,31907,15323,9025,6102,2073,494,1158,45986,44777,0,179,0
108,嘉義市,6996,15107,8843,6076,7488,991,1746,423,13222,10593,0,184,264
108,金門縣,2099,3756,1846,948,931,0,4,63,4387,4451,0,0,0
108,連江縣,300,470,241,0,0,257,0,0,0,62,0,0,0
109,新北市,89211,199521,92271,36692,28494,4259,516,3514,139130,133358,74,17165,260
109,臺北市,58312,122605,65349,55247,24765,2264,328,3646,256492,239317,154,4010,633
109,桃園市,61674,128236,62781,28861,28965,1269,3538,3496,100402,111374,0,1409,384
109,臺中市,84021,156584,79598,36000,35898,1680,5002,4219,186976,186543,0,6087,655
109,臺南市,49113,90522,46886,22560,16556,2453,2897,1689,111807,112370,75,819,391
109,高雄市,63771,127298,66052,31908,32132,1033,3562,2256,137812,142353,178,5159,535
109,宜蘭縣,11549,21737,11869,5520,4016,988,566,481,11674,14166,0,427,91
109,新竹縣,18473,37672,17130,4971,4884,851,780,729,12657,16589,0,187,192
109,苗栗縣,14077,27698,14088,5921,6148,720,946,655,18036,17809,0,221,105
109,彰化縣,32060,61453,31796,10988,15106,3324,2598,1737,28036,28036,0,455,498
109,南投縣,11741,22273,12183,3646,6155,913,636,512,9771,9771,69,220,114
109,雲林縣,15183,30472,18282,7091,6310,1116,1228,469,24519,25319,0,435,187
109,嘉義縣,9397,17770,9990,2682,3212,197,850,218,25456,29682,0,118,0
109,屏東縣,17983,34316,18930,7907,6302,649,483,722,35511,35454,0,683,163
109,臺東縣,4923,9859,5592,592,2457,1867,167,199,5980,5953,0,28,104
109,花蓮縣,7601,15194,8248,3696,3356,1212,14,419,17821,17714,0,192,110
109,澎湖縣,1848,3446,1902,818,1283,0,47,0,3047,3047,0,33,0
109,基隆市,8009,15691,8368,3338,3956,240,271,332,15735,15735,0,261,119
109,新竹市,14728,32372,15651,8807,6680,1373,492,1106,45641,44392,0,154,0
109,嘉義市,7237,14846,8710,6177,6906,796,1706,373,12826,10221,0,95,218
109,金門縣,2202,3808,1854,941,911,0,0,50,4131,4213,0,0,0
109,連江縣,293,493,257,0,0,237,0,0,0,44,0,0,0
110,新北市,88778,202529,91044,36286,27493,4080,403,3135,135995,130782,65,16922,262
110,臺北市,57492,125093,65268,54449,22915,1942,360,3373,250939,239082,165,3422,587
110,桃園市,62155,131258,62184,28842,27813,922,3225,3082,99535,110565,18,1203,353
110,臺中市,82579,160242,78320,35832,33498,1509,5328,3795,187115,186634,0,4737,635
110,臺南市,49071,91967,46589,22150,15877,2340,2637,1595,108005,108508,73,728,387
110,高雄市,65003,128846,64368,31497,30510,1052,3279,2098,136309,140652,150,5263,499
110,宜蘭縣,11578,21720,11620,5346,3938,933,521,459,11076,13022,0,312,91
110,新竹縣,18949,38429,17235,4993,4709,832,829,690,11956,15458,0,148,195
110,苗栗縣,14072,28275,13787,5967,5755,498,802,602,17825,17633,0,175,105
110,彰化縣,31533,61364,30638,10593,14115,3062,2428,1482,25049,25049,0,381,496
110,南投縣,11684,22481,11549,3413,5517,1043,574,486,9477,9477,89,205,111
110,雲林縣,15011,30256,17466,6900,5978,978,1153,399,24124,24936,0,269,180
110,嘉義縣,9198,17571,9219,2652,2692,74,657,138,24808,28824,0,92,0
110,屏東縣,18038,34546,17910,7705,5825,642,398,621,34038,33925,0,378,156
110,臺東縣,4937,9768,5322,577,2341,1786,151,160,6095,6105,0,19,99
110,花蓮縣,7687,15242,8045,3608,3276,987,16,374,17714,17588,0,171,103
110,澎湖縣,1853,3485,1810,776,1189,0,41,0,3063,3063,0,30,0
110,基隆市,7961,15795,8125,3255,3598,195,156,274,15000,15000,0,231,107
110,新竹市,14554,33197,15841,8654,6983,972,452,937,50745,44811,0,122,0
110,嘉義市,7302,14883,8456,6038,6502,600,1594,375,12747,10384,0,78,207
110,金門縣,2194,3878,1871,940,828,0,0,46,4215,4284,0,0,0
110,連江縣,292,492,247,0,0,232,0,0,0,48,0,0,0
111,新北市,88525,207675,87567,36341,27082,3983,282,2660,129608,125103,69,16834,252
111,臺北市,55777,127285,63593,53909,22367,1690,376,3139,244638,234009,175,3305,583
111,桃園市,62603,135930,59783,28878,26777,752,2852,2508,96681,107419,43,1092,321
111,臺中市,80497,165662,75249,36005,32114,1480,5374,3438,181341,180820,0,4170,640
111,臺南市,48170,95050,44319,21835,15310,2307,2461,1416,101751,102225,68,639,393
111,高雄市,63808,132841,61145,31388,28889,987,3032,1767,130544,134435,118,5064,483
111,宜蘭縣,11243,22238,11253,5297,3685,916,473,385,10345,11767,0,249,81
111,新竹縣,19065,39663,16837,4983,4707,873,862,605,11119,14069,0,119,204
111,苗栗縣,13742,29098,12944,6063,5488,262,775,384,17239,17071,0,155,113
111,彰化縣,30784,62313,29093,10370,13124,2801,2293,1249,21299,21299,0,260,480
111,南投縣,11322,22789,10915,3344,4990,991,436,420,9165,9165,86,162,105
111,雲林縣,14710,30506,16394,6807,5802,878,1068,340,23820,24677,0,218,163
111,嘉義縣,8811,17658,8625,2613,2277,0,462,105,23901,27830,0,75,0
111,屏東縣,17798,35286,16731,7658,5470,644,328,518,32324,32114,0,298,141
111,臺東縣,4907,9976,4962,546,2243,1742,140,149,5854,5958,0,12,99
111,花蓮縣,7407,15530,7741,3538,3112,913,7,359,17143,17038,0,139,101
111,澎湖縣,1788,3548,1697,733,1082,0,31,0,2927,2927,0,29,0
111,基隆市,7733,16146,7644,3289,3321,170,121,224,14190,14190,0,162,92
111,新竹市,14456,33869,15530,8716,7225,704,426,835,50067,44047,0,104,0
111,嘉義市,7143,15123,8126,5925,6159,523,1363,310,11958,9656,0,50,203
111,金門縣,2151,3909,1823,939,807,0,0,44,4175,4243,0,0,0
111,連江縣,290,480,245,0,0,265,0,0,0,27,0,0,0
112,新北市,88341,208980,85762,36496,26180,3948,254,2371,121961,117829,46,16626,243
112,臺北市,53918,127398,62422,53653,21986,1648,456,2982,237221,228032,159,3289,572
112,桃園市,63995,138435,58718,29096,26703,740,2731,2016,94438,104594,56,1092,310
112,臺中市,79789,168752,73448,36378,31315,1380,5568,3166,177725,177187,0,4035,640
112,臺南市,47927,96383,42710,21844,14793,2258,2295,1231,94711,95217,59,605,387
112,高雄市,63390,134605,58888,31351,27449,1027,3129,1629,124633,127985,77,4930,471
112,宜蘭縣,11251,22523,11013,5164,3434,880,422,308,9876,11221,0,247,65
112,新竹縣,18821,40410,16537,5062,4741,1006,907,533,10596,13208,0,137,210
112,苗栗縣,13893,29208,12557,6025,5249,195,714,325,16591,16425,0,164,106
112,彰化縣,30602,62675,27965,10231,12599,2596,2035,1123,17722,17722,0,249,446
112,南投縣,11253,22883,10602,3288,4731,922,320,359,9122,9122,114,156,105
112,雲林縣,14799,30604,15454,6719,5383,769,1006,305,23049,23832,0,206,161
112,嘉義縣,8757,17664,8216,2535,2276,0,326,98,23233,27497,0,67,0
112,屏東縣,17854,35817,15960,7301,5100,612,279,450,30157,29958,0,331,134
112,臺東縣,4916,9949,4752,506,2058,1650,121,129,5807,5907,0,8,90
112,花蓮縣,7313,15595,7484,3460,2800,972,5,322,16622,16532,0,137,96
112,澎湖縣,1822,3632,1625,693,971,0,26,0,2702,2702,0,29,0
112,基隆市,7703,16303,7270,3292,3083,136,59,222,13813,13813,0,182,80
112,新竹市,14584,34035,15109,8810,7432,552,378,731,49073,42827,0,111,0
112,嘉義市,7288,15035,7760,5899,5861,470,1126,298,11727,9060,0,42,218
112,金門縣,2087,3988,1795,939,778,0,0,41,4050,4105,0,0,0
112,連江縣,278,496,252,0,0,269,0,0,0,54,0,0,0
113,新北市,85532,202483,90131,36744,25707,3992,242,2340,119190,116885,28,16888,222
113,臺北市,50990,122987,64808,53247,21907,1665,413,2968,234053,223992,172,3113,590
113,桃園市,63421,135942,61743,29186,26245,770,2661,1844,94684,104871,54,1106,293
113,臺中市,77511,165484,77345,36635,30749,1371,5705,3055,175722,175075,0,3970,624
113,臺南市,46610,93966,44331,21940,14353,2291,2245,1106,91347,91947,53,564,377
113,高雄市,61751,131102,61242,31247,26786,914,3412,1444,121965,124137,43,4698,468
113,宜蘭縣,10954,22157,11263,5227,3292,860,405,304,9388,10659,0,237,69
113,新竹縣,18790,39379,17585,5054,4947,1130,999,523,10980,12951,0,161,201
113,苗栗縣,13459,28315,13092,6104,5088,106,700,310,16438,16365,0,175,108
113,彰化縣,29864,60625,28516,10028,12375,2407,1922,928,15787,15854,0,270,435
113,南投縣,10944,22256,10999,3191,4494,856,206,335,9073,9073,147,170,109
113,雲林縣,14534,29618,15584,6655,5026,694,949,252,22445,23301,0,236,157
113,嘉義縣,8639,17154,8240,2490,2221,0,224,98,23133,27250,0,59,0
113,屏東縣,17527,34969,16427,7017,4806,565,182,390,28810,28750,0,329,142
113,臺東縣,4739,9790,4834,519,1913,1634,111,140,5645,5833,0,11,85
113,花蓮縣,6943,15183,7508,3455,2530,1102,16,299,15861,15839,0,120,106
113,澎湖縣,1814,3534,1666,682,854,0,22,0,2388,2651,0,12,0
113,基隆市,7355,15951,7408,3263,2905,127,45,185,13383,13429,0,189,90
113,新竹市,14063,32858,15928,9046,7575,421,369,606,48901,42763,0,108,0
113,嘉義市,6997,14593,8017,5819,5922,447,939,300,11349,8734,0,57,227
113,金門縣,2011,3928,1877,954,803,0,0,39,3823,3866,0,0,0
113,連江縣,268,487,257,0,0,257,0,0,0,140,0,0,0
